Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2020-01-07,ADANIENT.NS,202.06407,204.05000,205.70000,200.55000,2966120,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-08,ADANIENT.NS,199.53888,201.50000,203.55000,194.55000,5762654,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-09,ADANIENT.NS,205.97563,208.00000,208.89999,201.89999,3496063,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-10,ADANIENT.NS,207.06491,209.10001,213.00000,205.89999,2769132,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-13,ADANIENT.NS,211.52112,213.60001,216.25000,209.60001,3527267,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-14,ADANIENT.NS,212.26382,214.35001,215.50000,211.85001,1775182,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-15,ADANIENT.NS,214.49193,216.60001,218.00000,212.50000,1982079,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-16,ADANIENT.NS,217.85883,220.00000,222.50000,217.00000,4280379,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-17,ADANIENT.NS,226.17706,228.39999,229.25000,213.70000,10810744,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-20,ADANIENT.NS,224.34508,226.55000,232.25000,224.14999,4546367,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-21,ADANIENT.NS,222.06747,224.25000,227.00000,220.50000,2813526,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-22,ADANIENT.NS,223.70140,225.89999,228.00000,221.14999,2939366,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-23,ADANIENT.NS,227.36539,229.60001,231.20000,225.75000,2650092,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-24,ADANIENT.NS,227.51396,229.75000,232.39999,219.00000,7154795,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-27,ADANIENT.NS,228.30615,230.55000,236.45000,226.05000,5293975,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-28,ADANIENT.NS,227.66248,229.89999,234.50000,229.10001,2161711,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-29,ADANIENT.NS,230.03912,232.30000,238.35001,231.00000,3738186,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-30,ADANIENT.NS,229.24689,231.50000,232.75000,228.20000,2192123,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-01-31,ADANIENT.NS,227.21686,229.45000,234.55000,227.14999,2720308,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-03,ADANIENT.NS,218.75008,220.89999,224.64999,215.60001,2720614,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-04,ADANIENT.NS,223.25577,225.45000,227.14999,222.05000,2028088,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-05,ADANIENT.NS,233.95068,236.25000,239.30000,222.55000,8985919,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-06,ADANIENT.NS,234.19824,236.50000,243.60001,234.10001,8852675,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-07,ADANIENT.NS,237.16904,239.50000,242.14999,235.25000,5052443,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-10,ADANIENT.NS,242.12038,244.50000,245.14999,237.55000,5588211,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-11,ADANIENT.NS,242.91260,245.30000,248.60001,243.64999,3533751,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-12,ADANIENT.NS,247.26978,249.70000,251.39999,245.00000,4490312,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-13,ADANIENT.NS,249.00273,251.45000,252.75000,248.25000,2563148,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-14,ADANIENT.NS,253.65701,256.14999,258.60001,251.55000,4968325,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-17,ADANIENT.NS,250.04254,252.50000,257.39999,251.64999,2411524,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-18,ADANIENT.NS,247.02222,249.45000,251.64999,245.25000,2430446,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-19,ADANIENT.NS,251.52792,254.00000,255.50000,249.89999,2101729,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-20,ADANIENT.NS,256.13269,258.64999,261.00000,252.64999,3108173,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-24,ADANIENT.NS,244.84361,247.25000,255.85001,244.10001,3309214,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-25,ADANIENT.NS,244.05141,246.45000,251.75000,242.39999,3309962,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-26,ADANIENT.NS,240.43694,242.80000,246.30000,241.00000,2897390,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-27,ADANIENT.NS,231.87111,234.14999,241.45000,232.05000,3568055,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-02-28,ADANIENT.NS,216.52196,218.64999,226.80000,217.00000,3364181,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-02,ADANIENT.NS,216.47247,218.60001,226.70000,216.14999,3162614,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-03,ADANIENT.NS,223.55287,225.75000,228.64999,219.25000,2992170,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-04,ADANIENT.NS,218.94815,221.10001,227.00000,213.55000,5216787,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-05,ADANIENT.NS,219.59181,221.75000,226.85001,219.35001,3159080,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-06,ADANIENT.NS,212.65993,214.75000,216.75000,207.50000,4375226,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-09,ADANIENT.NS,197.75642,199.70000,208.50000,197.25000,2763988,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-11,ADANIENT.NS,193.84485,195.75000,205.00000,192.25000,3763186,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-12,ADANIENT.NS,160.57187,162.14999,183.89999,160.45000,4834390,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-13,ADANIENT.NS,147.30228,148.75000,161.35001,129.75000,7463176,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-16,ADANIENT.NS,133.38902,134.70000,142.30000,128.64999,6582749,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-17,ADANIENT.NS,132.10167,133.39999,142.55000,130.50000,6388061,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-18,ADANIENT.NS,128.93280,130.20000,137.00000,127.10000,4255688,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-19,ADANIENT.NS,127.64546,128.89999,132.95000,118.20000,5517080,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-20,ADANIENT.NS,136.35982,137.70000,141.60001,128.70000,4496351,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-23,ADANIENT.NS,120.59914,120.90000,135.00000,118.20000,1456143,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-24,ADANIENT.NS,130.02565,130.35001,132.95000,116.40000,5125923,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2020-03-25,ADANIENT.NS,131.97078,132.30000,134.89999,125.00000,2771318,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
