Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2021-01-04,ADANIENT.NS,493.26944,494.50000,502.60001,486.64999,4936582,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-05,ADANIENT.NS,493.16968,494.39999,501.39999,489.60001,3654033,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-06,ADANIENT.NS,489.67841,490.89999,500.64999,484.25000,3295461,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-07,ADANIENT.NS,516.81067,518.09998,523.95001,493.79999,9879731,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-08,ADANIENT.NS,516.71100,518.00000,526.59998,514.09998,3702267,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-11,ADANIENT.NS,517.85809,519.15002,524.59998,510.50000,4148831,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-12,ADANIENT.NS,524.09253,525.40002,536.59998,517.09998,4878024,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-13,ADANIENT.NS,534.71606,536.04999,540.20001,521.29999,4948731,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-14,ADANIENT.NS,530.77576,532.09998,541.00000,528.40002,3161306,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-15,ADANIENT.NS,525.98792,527.29999,537.50000,518.79999,3376852,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-18,ADANIENT.NS,506.58621,507.85001,529.09998,502.04999,5204588,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-19,ADANIENT.NS,528.78082,530.09998,532.00000,512.29999,4181185,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-20,ADANIENT.NS,545.38940,546.75000,552.15002,531.00000,6681731,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-21,ADANIENT.NS,535.56390,536.90002,552.95001,531.54999,4208383,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-22,ADANIENT.NS,525.48907,526.79999,546.75000,521.59998,4179558,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-25,ADANIENT.NS,512.62115,513.90002,534.40002,509.00000,3728411,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-27,ADANIENT.NS,511.52390,512.79999,521.54999,507.04999,2792007,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-28,ADANIENT.NS,510.57629,511.85001,519.50000,501.35001,4197516,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-01-29,ADANIENT.NS,505.38922,506.64999,525.20001,502.50000,3822560,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-01,ADANIENT.NS,535.86316,537.20001,539.50000,496.89999,4004036,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-02,ADANIENT.NS,562.79602,564.20001,566.90002,540.79999,5144708,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-03,ADANIENT.NS,565.19006,566.59998,576.59998,558.34998,6087209,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-04,ADANIENT.NS,588.23254,589.70001,611.70001,556.00000,11184167,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-05,ADANIENT.NS,593.86847,595.34998,607.84998,588.59998,4754950,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-08,ADANIENT.NS,626.73651,628.29999,638.00000,603.54999,7085276,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-09,ADANIENT.NS,628.28259,629.84998,641.90002,621.00000,4510798,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-10,ADANIENT.NS,649.08075,650.70001,654.90002,622.09998,5991927,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-11,ADANIENT.NS,656.96106,658.59998,661.00000,645.34998,3688016,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-12,ADANIENT.NS,717.16095,718.95001,724.45001,655.20001,16810897,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-15,ADANIENT.NS,761.55017,763.45001,787.95001,707.65002,21579566,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-16,ADANIENT.NS,778.25854,780.20001,802.95001,756.25000,19426061,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-17,ADANIENT.NS,783.49536,785.45001,802.00000,782.25000,8908279,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-18,ADANIENT.NS,806.18878,808.20001,824.50000,786.00000,9694238,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-19,ADANIENT.NS,779.95428,781.90002,831.00000,729.50000,20210882,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-22,ADANIENT.NS,803.89453,805.90002,813.00000,780.54999,10890564,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-23,ADANIENT.NS,797.66016,799.65002,827.29999,789.00000,9753081,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-24,ADANIENT.NS,803.19629,805.20001,812.04999,795.45001,4626257,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-25,ADANIENT.NS,841.40100,843.50000,862.40002,809.00000,12118095,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-02-26,ADANIENT.NS,831.57550,833.65002,861.00000,819.84998,11355426,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-01,ADANIENT.NS,849.38104,851.50000,860.95001,836.45001,5996840,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-02,ADANIENT.NS,870.37860,872.54999,876.50000,852.25000,5116413,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-03,ADANIENT.NS,913.07214,915.34998,944.90002,872.84998,11670544,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-04,ADANIENT.NS,916.11456,918.40002,938.70001,905.40002,8141787,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-05,ADANIENT.NS,907.63574,909.90002,934.00000,888.29999,7109101,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-08,ADANIENT.NS,907.93500,910.20001,926.40002,905.09998,3904469,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-09,ADANIENT.NS,902.94745,905.20001,928.40002,893.59998,5561849,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-10,ADANIENT.NS,895.91498,898.15002,914.09998,888.70001,5465016,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-12,ADANIENT.NS,891.87500,894.09998,923.79999,889.29999,6049852,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-15,ADANIENT.NS,893.96979,896.20001,904.00000,874.50000,5234540,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-16,ADANIENT.NS,895.56586,897.79999,904.40002,888.04999,2555026,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-17,ADANIENT.NS,871.72528,873.90002,905.40002,865.00000,3886557,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-18,ADANIENT.NS,868.88239,871.04999,891.00000,857.75000,4465851,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2021-03-19,ADANIENT.NS,887.43616,889.65002,895.40002,840.20001,4794995,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
