Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2025-01-20,ADANIENT.NS,2442.80005,2454.00000,2390.00000,2413.75000,1039435,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-21,ADANIENT.NS,2384.30005,2441.75000,2373.64990,2441.75000,1206512,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-22,ADANIENT.NS,2376.55005,2399.00000,2325.14990,2399.00000,1147334,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-23,ADANIENT.NS,2385.00000,2405.14990,2355.00000,2383.00000,826721,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-24,ADANIENT.NS,2315.10010,2406.00000,2299.39990,2387.75000,1388583,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-27,ADANIENT.NS,2259.69995,2318.10010,2250.05005,2310.05005,1032995,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-28,ADANIENT.NS,2286.05005,2315.85010,2242.00000,2274.19995,966497,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2025-01-20,ADANIPORTS.NS,1148.69995,1172.00000,1146.50000,1172.00000,1312101,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-21,ADANIPORTS.NS,1106.19995,1154.25000,1104.00000,1150.00000,3134022,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-22,ADANIPORTS.NS,1102.25000,1118.05005,1080.44995,1115.50000,1906032,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-23,ADANIPORTS.NS,1104.00000,1114.25000,1089.65002,1102.25000,1968815,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-24,ADANIPORTS.NS,1094.15002,1115.00000,1088.25000,1104.15002,2400140,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-27,ADANIPORTS.NS,1082.00000,1093.59998,1067.55005,1085.09998,2371555,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-28,ADANIPORTS.NS,1080.69995,1096.65002,1061.25000,1087.00000,2404643,23.06940,47.55000,0.764,2369565491200,4.14383,0.00560,85.449,30.19555
2025-01-20,APOLLOHOSP.NS,6780.85010,6910.00000,6740.00000,6901.00000,120356,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-21,APOLLOHOSP.NS,6919.14990,7014.95020,6838.00000,6838.00000,799900,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-22,APOLLOHOSP.NS,6892.89990,6941.95020,6829.89990,6908.00000,247081,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-23,APOLLOHOSP.NS,6920.85010,6963.10010,6823.20020,6892.25000,271085,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-24,APOLLOHOSP.NS,6745.04980,6915.25000,6728.45020,6915.25000,317194,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-27,APOLLOHOSP.NS,6695.45020,6729.79980,6674.35010,6700.00000,191705,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-28,APOLLOHOSP.NS,6708.95020,6747.50000,6635.04980,6699.00000,202194,82.21401,82.52000,0.626,975480487936,13.58721,0.00240,93.132,131.33228
2025-01-20,ASIANPAINT.NS,2280.55005,2286.89990,2251.00000,2272.25000,555716,46.55811,47.75000,-0.424,2131373850624,11.81797,0.01450,13.467,-109.80687
2025-01-21,ASIANPAINT.NS,2260.35010,2315.00000,2255.00000,2280.55005,1410294,46.55811,47.75000,-0.424,2131373850624,11.81797,0.01450,13.467,-109.80687
2025-01-22,ASIANPAINT.NS,2262.10010,2270.00000,2244.89990,2270.00000,835523,46.55811,47.75000,-0.424,2131373850624,11.81797,0.01450,13.467,-109.80687
